Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
0,Arsenal,15,11,3,1,33,14,+19,36,2.40,27.6,11.5,+16.1,+1.07,L W W W W,"60,147","Eddie Nketiah, Bukayo Saka - 5",David Raya,
1,Liverpool,15,10,4,1,34,14,+20,34,2.27,30.9,18.0,+12.9,+0.86,D W D W W,"50,573",Mohamed Salah - 10,Alisson,
2,Aston Villa,15,10,2,3,34,20,+14,32,2.13,28.2,20.8,+7.4,+0.49,L W W D W,"35,467",Ollie Watkins - 8,Emiliano Martínez,
3,Manchester City,15,9,3,3,36,17,+19,30,2.00,29.0,14.4,+14.6,+0.97,W D D D L,"45,700",Erling Haaland - 14,Ederson,
4,Tottenham,14,8,3,3,28,20,+8,27,1.93,22.0,22.9,-0.9,-0.07,W L L L D,"61,718",Son Heung-min - 9,Guglielmo Vicario,
5,Manchester Utd,15,9,0,6,18,18,0,27,1.80,24.3,25.1,-0.8,-0.05,W W W L W,"73,517",Scott McTominay - 5,André Onana,
6,Newcastle Utd,14,8,2,4,32,14,+18,26,1.86,28.1,14.2,+13.9,+0.99,D W L W W,"52,075","Callum Wilson, Alexander Isak - 7",Nick Pope,
7,Brighton,15,7,4,4,32,27,+5,25,1.67,24.9,22.4,+2.5,+0.17,D D W L W,"27,661",Evan Ferguson - 6,Jason Steele,
8,West Ham,14,6,3,5,24,24,0,21,1.50,19.6,24.4,-4.8,-0.34,L L W W D,"62,459",Jarrod Bowen - 8,Alphonse Areola,
9,Chelsea,15,5,4,6,26,24,+2,19,1.27,29.3,22.6,+6.7,+0.45,W D L W L,"39,748",Nicolas Jackson - 6,Robert Sánchez,
10,Brentford,15,5,4,6,23,21,+2,19,1.27,27.9,19.7,+8.2,+0.55,W L L W L,"17,053",Bryan Mbeumo - 7,Mark Flekken,
11,Fulham,15,5,3,7,21,26,-5,18,1.20,19.0,25.7,-6.7,-0.45,L L W L W,"24,342","Willian, Raúl Jiménez... - 3",Bernd Leno,
12,Wolves,15,5,3,7,20,25,-5,18,1.20,19.2,26.0,-6.8,-0.46,L W L L W,"31,297",Hwang Hee-chan - 8,José Sá,
13,Crystal Palace,15,4,4,7,14,21,-7,16,1.07,17.5,20.4,-3.0,-0.20,W L L D L,"21,314",Odsonne Édouard - 6,Sam Johnstone,
14,Bournemouth,15,4,4,7,18,30,-12,16,1.07,20.3,26.5,-6.1,-0.41,L W W D W,"11,018",Dominic Solanke - 7,Neto,
15,Nott'ham Forest,15,3,4,8,16,27,-11,13,0.87,16.1,23.3,-7.3,-0.48,W L L L L,"29,268",Taiwo Awoniyi - 4,Matt Turner,
16,Luton Town,15,2,3,10,16,30,-14,9,0.60,14.6,31.6,-17.1,-1.14,D L W L L,"10,859","Carlton Morris, Elijah Adebayo - 3",Thomas Kaminski,
17,Everton,14,5,2,7,15,20,-5,7,0.50,20.9,18.7,+2.2,+0.16,W D W L W,"39,150",Abdoulaye Doucouré - 4,Jordan Pickford,10-point deduction 1
18,Burnley,15,2,1,12,15,33,-18,7,0.47,13.8,24.1,-10.3,-0.68,L L L W L,"21,567","Josh Brownhill, Lyle Foster - 3",James Trafford,
19,Sheffield Utd,15,1,2,12,11,41,-30,5,0.33,11.8,32.5,-20.7,-1.38,W D L L L,"30,924","Oliver McBurnie, Gustavo Hamer... - 2",Wes Foderingham,
